feature,importance
CpnyEcoType,0.3048675169652717
CpnyMoPayAmt,0.19856232001439195
CpnyIndustry,0.18837785498062043
PsonAcStatus,0.12207887292513209
PsonPayBase,0.046216773677638025
BirthDate,0.035604185501880284
PsonMoPayAmt,0.032817500966068475
LoanAmt,0.024911702618764228
LoanBal,0.018352094858229147
PsonAcBalCurY,0.014088172230916855
PsonAcBalPreY,0.005897425717190978
LoanRate,0.0033127330457643255
PsonAcBal,0.0025195566323420408
ID,0.002393289865789533
Marital,0.0
Gender,0.0
Occupation,0.0
EmployTitle,0.0
JobType,0.0
Education,0.0
